codigo,cantidad
1141633BBLC-090,8
1141633BBLC-095,3
1141633BBLC-105,4
1141633BBLC-110,3
1141633BBLC-115,1
1141633OSGR-090,3
1147650BYT-075,2
1147650BYT-080,4
1147650BYT-090,8
1147650BYT-095,3
1147650BYT-100,2
1147790DDW-075,5
1147790DDW-080,6
1147790DDW-085,1
1147790DDW-095,1
1147790DDW-105,1
1147790DDW-110,4
1147790PYS-075,3
1147790PYS-080,10
1147790PYS-085,8
1147790PYS-090,15
1147790PYS-095,18
1147790PYS-100,14
1147790PYS-105,7
1147790PYS-110,2
1147790PYS-120,4
1147790VWT-075,2
1147790VWT-080,3
1147790VWT-085,4
1147790VWT-090,5
1147790VWT-095,5
1147790VWT-100,5
1147790VWT-105,1
1147790VWT-110,2
1147790VWT-120,2
1147791SRBT-075,1
1147791SRBT-080,3
1147791SRBT-085,3
1147791SRBT-090,18
1147791SRBT-095,11
1147791SRBT-100,13
1147791SRBT-105,9
1147791SRBT-110,3
1147791SRBT-120,1
1147850BDBSW-105,1
1147850VRTL-075,2
1147850VRTL-080,1
1147850VRTL-085,1
1147850VRTL-105,1
1147850VRTL-110,1
1147850VRTL-120,2
1147911BVR-075,1
1147930BWHT-085,13
1147930BWHT-090,4
1147930BWHT-095,1
1147930BWHT-110,1
1147930SCV-085,6
1147930SCV-090,7
1147930SCV-095,4
1147930SCV-100,2
1147930SCV-105,4
1147930SCV-110,2
1147930WLK-075,1
1147930WLK-080,15
1147930WLK-085,27
1147930WLK-090,34
1147930WLK-095,31
1147930WLK-100,23
1147930WLK-105,16
1147930WLK-110,12
1147930WLK-115,1
