ordencompra,idpago,guia
7550028705-A,Home delivery,1Z52R4490430094054
5730027019-A,Home delivery,1Z52R4490434959443
3940026900-A,Click & Collect,273004911590
4090026764-A,Home delivery,1Z52R4490407162694
2240026819-A,Home delivery,1Z52R4490421381868
