ordencompra,idpago,guia
HK10989,Home delivery,1Z52R4490430094054
HK10990,Home delivery,1Z52R4490430094055
HK10991,Click & Collect,1Z52R4490430094056
HK10992,Home delivery,1Z52R4490430094057
HK10993,Home delivery,1Z52R4490430094058
HK10994,Home delivery,1Z52R4490430094059
HK10995,Home delivery,1Z52R4490430094060
HK10996,Click & Collect,1Z52R4490430094061
HK10997,Home delivery,123456789123456789
