codigo,Cantidad
1134150BBLC-040-060,3
1134150BBLC-050-070,6
1134150BBLC-060-080,6
1134150BBLC-070-090,2
1134150BBLC-080-100,19
1134150BBLC-090-110,21
1134150BBLC-100-120,21
1134150BBLC-110-130,18
1134150BBLC-120-140,2
1134150BLY-080-100,18
1134150BLY-090-110,21
1134150BLY-100-120,21
1134150BLY-110-130,18
1134150BLY-120-140,2
1135061BBLC-040-060,6
1135061BBLC-050-070,10
1135061BBLC-060-080,11
1135061BBLC-070-090,10
1135061BBLC-080-100,13
1135061BBLC-090-110,10
1135061BBLC-100-120,11
1135061BBLC-110-130,9
1135061BBLC-120-140,5
1135061BBLC-130-150,3
1135061PPYP-040-060,10
1135061PPYP-050-070,24
1135061PPYP-060-080,24
1135061PPYP-070-090,11
1135061PPYP-080-100,3
1147951BBLC-040-060,4
1147951BBLC-050-070,8
1147951BBLC-060-080,8
1147951BBLC-070-090,3
1147951BBLC-080-100,13
1147951BBLC-090-110,16
1147951BBLC-100-120,16
1147951BBLC-110-130,12
1147951BBLC-120-140,2
1147951WHTW-040-060,4
1147951WHTW-050-070,8
1147951WHTW-060-080,8
1147951WHTW-070-090,3
1147951WHTW-080-100,13
1147951WHTW-090-110,16
1147951WHTW-100-120,16
1147951WHTW-110-130,12
1147951WHTW-120-140,2
1135061TCHG-080-100,12
1135061TCHG-090-110,21
1135061TCHG-100-120,21
1135061TCHG-110-130,14
1135061TCHG-120-140,4
1141633BBLC-075,3
1141633BBLC-085,9
1141633BBLC-080,7
1141633BBLC-095,15
1141633BBLC-090,18
1141633BBLC-105,11
1141633BBLC-100,13
1141633BBLC-115,6
1141633BBLC-110,10
1141633BBLC-120,3
1141633BBLC-130,1
1122571BBLC-085-095,14
1122571BBLC-080-090,7
1122571BBLC-095-105,15
1122571BBLC-090-100,15
1122571BBLC-105-115,8
1122571BBLC-100-110,8
1122571BBLC-110-120,7
1122571BBLC-120-130,1
1122571LLTN-085-095,14
1122571LLTN-080-090,7
1122571LLTN-095-105,15
1122571LLTN-090-100,15
1122571LLTN-105-115,8
1122571LLTN-100-110,8
1122571LLTN-110-120,7
1122571LLTN-120-130,1
1160050BBLC-085-095,12
1160050BBLC-080-090,11
1160050BBLC-095-105,35
1160050BBLC-090-100,26
1160050BBLC-105-115,14
1160050BBLC-100-110,39
1160050BBLC-110-120,26
1160050BBLC-120-130,12
1160050BBLC-130-140,2
1160050VLW-055-065,19
1160050VLW-050-060,13
1160050VLW-065-075,27
1160050VLW-060-070,30
1160050VLW-075-085,24
1160050VLW-070-080,24
1160050VLW-080-090,16
1160050VLW-090-100,2
1119395NCSW-075,21
1119395NCSW-085,62
1119395NCSW-080,62
1119395NCSW-095,98
1119395NCSW-090,104
1119395NCSW-105,60
1119395NCSW-100,111
1119395NCSW-115,7
1119395NCSW-110,71
1119395NCSW-120,34
1119395NCSW-130,4
1123157HMBC-075,3
1123157HMBC-085,7
1123157HMBC-080,8
1123157HMBC-095,11
1123157HMBC-090,13
1123157HMBC-105,8
1123157HMBC-100,12
1123157HMBC-115,3
1123157HMBC-110,6
1123157HMBC-120,3
1123157HMBC-130,2
1123157LTC-075,3
1123157LTC-085,14
1123157LTC-080,13
1123157LTC-095,21
1123157LTC-090,23
1123157LTC-105,18
1123157LTC-100,21
1123157LTC-115,7
1123157LTC-110,15
1123157LTC-120,6
1123157LTC-130,3
1123157SDV-075,2
1123157SDV-085,11
1123157SDV-080,9
1123157SDV-095,21
1123157SDV-090,28
1123157SDV-105,20
1123157SDV-100,28
1123157SDV-115,4
1123157SDV-110,12
1123157SDV-120,10
1123157SDV-130,1
1127929BBES-075,2
1127929BBES-085,9
1127929BBES-080,6
1127929BBES-095,12
1127929BBES-090,13
1127929BBES-105,10
1127929BBES-100,12
1127929BBES-115,5
1127929BBES-110,7
1127929BBES-120,3
1127929SSK-075,3
1127929SSK-085,5
1127929SSK-080,7
1127929SSK-095,11
1127929SSK-090,13
1127929SSK-105,8
1127929SSK-100,10
1127929SSK-115,4
1127929SSK-110,7
1127929SSK-120,2
1127929SSK-130,2
1119396BCKS-065,98
1119396BCKS-060,74
1119396BCKS-075,136
1119396BCKS-070,154
1119396BCKS-085,97
1119396BCKS-080,136
1119396BCKS-090,80
1119396BCKS-100,25
1119396CRSCR-065,56
1119396CRSCR-060,42
1119396CRSCR-075,78
1119396CRSCR-070,79
1119396CRSCR-085,42
1119396CRSCR-080,70
1119396CRSCR-090,40
1119396CRSCR-100,12
1119396ERGL-065,18
1119396ERGL-060,12
1119396ERGL-075,25
1119396ERGL-070,28
1119396ERGL-085,22
1119396ERGL-080,22
1119396ERGL-090,15
1119396ERGL-100,2
1123158RPY-065,24
1123158RPY-060,10
1123158RPY-075,27
1123158RPY-070,30
1123158RPY-085,10
1123158RPY-080,29
1123158RPY-090,12
1123158RPY-100,2
1134235RHD-065,9
1134235RHD-060,4
1134235RHD-075,13
1134235RHD-070,14
1134235RHD-085,10
1134235RHD-080,13
1134235RHD-090,5
1134235RHD-100,4
