codigo,Cantidad
CLALZCAS-BK003,120
CLALZCAS-FG003,12
CLALZCAS-NV003,48
CLALZCAS-WH003,72
CLALZCH-DW001,60
CLALZCH-WH001,40
CLALZCSCCPB-EM001,24
CLALZCSCCPB-PC001,48
CLALZCSCCPB-RT001,72
CLBKTHA24-BK001-L/XL,24
CLBKTHA24-BK001-S/M,18
CLBKTHA24-WH001- L/XL,18
CLBKTHA24-WH001- S/M,12
CLFSTCS-CS-RE001,72
CLGCAS-WN003,2
CLGCC-BK007,48
CLGCC-HD001,24
CLGCE24-RBK001,4
CLGCE24-RT001,4
CLGCGSC-Winc-BK001,2
CLGCGSC-Winc-HD001,2
CLGCGSC-Winc-PC001,2
CLGCSA-BK006,72
CLGCSA-FG006,24
CLGCSA-NV006,36
CLGCSA-WH006,36
CLGCSA-WN006,72
CLGCS-BK001,72
CLGCSCCPB-BRI001,48
CLGCSCCPB-CO001,4
CLGCSCCPB-LI001,72
CLGCSCWCBST-CO001,72
CLGCSCWCLA-CC001,2
CLGCSCWCLDN-EM001,48
CLGCSCWCPRS-DS001,2
CLGCSCWCTKY-WH002,72
CLGCS-LI001,24
CLRDCE24-RBK001,2
CLRDCE24-RT001,2
CLRPDVSCS-CS-CT001,40
CLTRKCSCAB-BK002,72
CLTRKCSCAB-BRI001,72
