codigo,cantidad
HB03P-01L,HB03P-01L
HB03P-01M,HB03P-01M
HB03P-01S,HB03P-01S
HD08-C1L,HD08-C1L
HD08-C1S,HD08-C1S
HD08-C2L,HD08-C2L
HH12-09,HH12-09
MINIP-R1,MINIP-R1
MSB02-01,MSB02-01
N04-01,N04-01
NZ01-M1,NZ01-M1
SFB-TR,SFB-TR
SUR03-01L,SUR03-01L
SUR03-01S,SUR03-01S
SWP-01,SWP-01
WR01-01,WR01-01
