codigo,Cantidad
1127895WHF-075,1
1127895WHF-085,26
1127895WHF-080,15
1127895WHF-095,30
1127895WHF-090,31
1127895WHF-105,18
1127895WHF-100,20
1127895WHF-115,1
1127895WHF-110,13
1127895WHF-120,2
1129930SLRL-075,2
1129930SLRL-085,9
1129930SLRL-080,8
1129930SLRL-095,17
1129930SLRL-090,21
1129930SLRL-105,15
1129930SLRL-100,20
1129930SLRL-115,5
1129930SLRL-110,11
1129930SLRL-120,7
1129930SLRL-130,1
1132210HMBC-075,3
1132210HMBC-085,6
1132210HMBC-080,7
1132210HMBC-095,11
1132210HMBC-090,13
1132210HMBC-105,8
1132210HMBC-100,13
1132210HMBC-115,3
1132210HMBC-110,5
1132210HMBC-120,2
1132210HMBC-130,1
1134516STV-075,2
1134516STV-085,8
1134516STV-080,5
1134516STV-095,12
1134516STV-090,13
1134516STV-105,8
1134516STV-100,11
1134516STV-115,3
1134516STV-110,6
1134516STV-120,2
1134516STV-130,2
1134516WLR-075,1
1134516WLR-085,8
1134516WLR-080,6
1134516WLR-095,13
1134516WLR-090,16
1134516WLR-105,12
1134516WLR-100,16
1134516WLR-115,2
1134516WLR-110,8
1134516WLR-120,6
1134516WLR-130,1
1141450CRSCL-075,2
1141450CRSCL-085,9
1141450CRSCL-080,6
1141450CRSCL-095,13
1141450CRSCL-090,14
1141450CRSCL-105,10
1141450CRSCL-100,14
1141450CRSCL-115,5
1141450CRSCL-110,8
1141450CRSCL-120,5
1141450CRSCL-130,2
1141450DDL-075,19
1141450DDL-085,38
1141450DDL-080,36
1141450DDL-095,51
1141450DDL-090,59
1141450DDL-105,35
1141450DDL-100,56
1141450DDL-115,6
1141450DDL-110,28
1141450DDL-120,18
1141450DDL-130,3
1147790DDW-075,13
1147790DDW-085,43
1147790DDW-080,37
1147790DDW-095,76
1147790DDW-090,70
1147790DDW-105,45
1147790DDW-100,81
1147790DDW-115,11
1147790DDW-110,47
1147790DDW-120,25
1147790DDW-130,3
1147790PYS-075,9
1147790PYS-085,18
1147790PYS-080,17
1147790PYS-095,26
1147790PYS-090,26
1147790PYS-105,18
1147790PYS-100,26
1147790PYS-115,2
1147790PYS-110,10
1147790PYS-120,9
1147790PYS-130,3
1147790VWT-075,3
1147790VWT-085,7
1147790VWT-080,8
1147790VWT-095,10
1147790VWT-090,13
1147790VWT-105,7
1147790VWT-100,10
1147790VWT-115,3
1147790VWT-110,7
1147790VWT-120,3
1147790VWT-130,1
1147850BWHT-075,3
1147850BWHT-085,9
1147850BWHT-080,7
1147850BWHT-095,14
1147850BWHT-090,16
1147850BWHT-105,10
1147850BWHT-100,15
1147850BWHT-115,5
1147850BWHT-110,8
1147850BWHT-120,5
1147850BWHT-130,3
1147850VRTL-075,6
1147850VRTL-085,23
1147850VRTL-080,25
1147850VRTL-095,38
1147850VRTL-090,45
1147850VRTL-105,30
1147850VRTL-100,40
1147850VRTL-115,11
1147850VRTL-110,22
1147850VRTL-120,6
1147850VRTL-130,4
1147930BWHT-075,9
1147930BWHT-085,42
1147930BWHT-080,30
1147930BWHT-095,49
1147930BWHT-090,55
1147930BWHT-105,28
1147930BWHT-100,39
1147930BWHT-115,1
1147930BWHT-110,27
1147930BWHT-120,8
1147930BWHT-130,1
1147930WLK-075,3
1147930WLK-085,28
1147930WLK-080,18
1147930WLK-095,35
1147930WLK-090,36
1147930WLK-105,21
1147930WLK-100,25
1147930WLK-115,3
1147930WLK-110,16
1147930WLK-120,3
1147930WLK-130,2
1142831DIFL-065,12
1142831DIFL-060,5
1142831DIFL-075,16
1142831DIFL-070,20
1142831DIFL-085,12
1142831DIFL-080,16
1142831DIFL-090,4
1142831DIFL-100,3
1123112BCSTL-050-060,8
1123112BCSTL-060-070,9
1123112BCSTL-070-080,9
1123112BCSTL-080-090,18
1123112BCSTL-090-100,12
1123112BCSTL-100-110,12
1123112BCSTL-110-120,10
1123112BCSTL-120-130,2
1119396SOAB-065,20
1119396SOAB-060,20
1119396SOAB-075,26
1119396SOAB-070,33
1119396SOAB-085,16
1119396SOAB-080,29
1119396SOAB-090,18
1119396SOAB-100,7
1127896BBLC-065,34
1127896BBLC-060,18
1127896BBLC-075,52
1127896BBLC-070,39
1127896BBLC-085,20
1127896BBLC-080,38
1127896BBLC-090,16
1127896BWHT-065,19
1127896BWHT-060,20
1127896BWHT-075,33
1127896BWHT-070,49
1127896BWHT-085,24
1127896BWHT-080,53
1127896BWHT-090,30
1127896BWHT-100,6
1127952BBLC-065,25
1127952BBLC-060,13
1127952BBLC-075,36
1127952BBLC-070,30
1127952BBLC-085,17
1127952BBLC-080,30
1127952BBLC-090,13
1127952WWH-065,17
1127952WWH-060,13
1127952WWH-075,30
1127952WWH-070,32
1127952WWH-085,18
1127952WWH-080,32
1127952WWH-090,15
1127952WWH-100,2
1131056PPYR-065,13
1131056PPYR-060,6
1131056PPYR-075,16
1131056PPYR-070,19
1131056PPYR-085,10
1131056PPYR-080,17
1131056PPYR-090,6
1131056PPYR-100,3
1134507STV-065,14
1134507STV-060,9
1134507STV-075,19
1134507STV-070,21
1134507STV-085,11
1134507STV-080,20
1134507STV-090,6
1134507STV-100,2
1141451DLL-065,35
1141451DLL-060,25
1141451DLL-075,52
1141451DLL-070,52
1141451DLL-085,30
1141451DLL-080,51
1141451DLL-090,26
1141451DLL-100,14
1147851BWHT-065,8
1147851BWHT-060,3
1147851BWHT-075,14
1147851BWHT-070,15
1147851BWHT-085,10
1147851BWHT-080,14
1147851BWHT-090,5
1147851BWHT-100,3
1147851PPYC-065,28
1147851PPYC-060,16
1147851PPYC-075,44
1147851PPYC-070,40
1147851PPYC-085,26
1147851PPYC-080,39
1147851PPYC-090,18
1147851PPYC-100,4
1147913BWHT-065,29
1147913BWHT-060,29
1147913BWHT-075,48
1147913BWHT-070,55
1147913BWHT-085,30
1147913BWHT-080,55
1147913BWHT-090,29
1147913BWHT-100,11
1147913VSN-065,31
1147913VSN-060,30
1147913VSN-075,51
1147913VSN-070,59
1147913VSN-085,33
1147913VSN-080,59
1147913VSN-090,30
1147913VSN-100,12
