codigo,cantidad
1123157FRYL-075,1.00
1123157FRYL-080,14.00
1123157FRYL-085,15.00
1123157FRYL-090,29.00
1123157FRYL-095,33.00
1123157FRYL-100,34.00
1123157FRYL-105,34.00
1123157FRYL-110,22.00
1123157FRYL-115,14.00
1123157FRYL-120,13.00
1123157TFST-075,2.00
1123157TFST-085,28.00
1123157TFST-090,40.00
1123157TFST-095,34.00
1123157TFST-100,41.00
1123157TFST-105,28.00
1123157TFST-110,3.00
1123157TFST-115,2.00
1123157TFST-120,4.00
1123157TFST-130,2.00
1123158FFCM-060,15.00
1123158FFCM-065,29.00
1123158FFCM-070,37.00
1123158FFCM-075,36.00
1123158FFCM-080,38.00
1123158FFCM-085,20.00
1123158FFCM-090,10.00
1123158FFCM-100,1.00
