codigo,Cantidad
1119395BNCD-075,16
1119395BNCD-085,34
1119395BNCD-080,35
1119395BNCD-095,52
1119395BNCD-090,56
1119395BNCD-105,37
1119395BNCD-100,53
1119395BNCD-115,8
1119395BNCD-110,22
1119395BNCD-120,13
1119395BNCD-130,4
1119395PDL-075,16
1119395PDL-085,42
1119395PDL-080,37
1119395PDL-095,55
1119395PDL-090,64
1119395PDL-105,38
1119395PDL-100,57
1119395PDL-115,4
1119395PDL-110,37
1119395PDL-120,21
1119395PDL-130,1
1123202BVR-075,12
1123202BVR-085,28
1123202BVR-080,26
1123202BVR-095,42
1123202BVR-090,46
1123202BVR-105,27
1123202BVR-100,42
1123202BVR-115,5
1123202BVR-110,15
1123202BVR-120,9
1123202BVR-130,2
1123202CRSCL-085,18
1123202CRSCL-080,15
1123202CRSCL-095,53
1123202CRSCL-090,39
1123202CRSCL-105,22
1123202CRSCL-100,58
1123202CRSCL-115,1
1123202CRSCL-110,39
1123202CRSCL-120,18
1127895BVR-075,30
1127895BVR-085,70
1127895BVR-080,73
1127895BVR-095,107
1127895BVR-090,129
1127895BVR-105,68
1127895BVR-100,117
1127895BVR-115,11
1127895BVR-110,60
1127895BVR-120,26
1127895BVR-130,5
1119396BLCN-065,103
1119396BLCN-060,77
1119396BLCN-075,146
1119396BLCN-070,154
1119396BLCN-085,81
1119396BLCN-080,147
1119396BLCN-090,85
1119396BLCN-100,37
1119396PDL-065,20
1119396PDL-060,10
1119396PDL-075,32
1119396PDL-070,28
1119396PDL-085,18
1119396PDL-080,28
1119396PDL-090,11
1119396PDL-100,3
1127895BLCKS-075,31
1127895BLCKS-085,78
1127895BLCKS-080,69
1127895BLCKS-095,105
1127895BLCKS-090,112
1127895BLCKS-105,67
1127895BLCKS-100,97
1127895BLCKS-115,9
1127895BLCKS-110,55
1127895BLCKS-120,28
1127895BLCKS-130,3
1127896WTL-065,50
1127896WTL-060,34
1127896WTL-075,81
1127896WTL-070,89
1127896WTL-085,57
1127896WTL-080,72
1127896WTL-090,38
1127896WTL-100,2
1127895WTL-085,15
1127895WTL-080,12
1127895WTL-095,45
1127895WTL-090,31
1127895WTL-105,18
1127895WTL-100,48
1127895WTL-110,28
1127895WTL-120,10
1147930SCV-075,9
1147930SCV-085,44
1147930SCV-080,31
1147930SCV-095,52
1147930SCV-090,58
1147930SCV-105,31
1147930SCV-100,42
1147930SCV-115,1
1147930SCV-110,28
1147930SCV-120,9
1147930SCV-130,1
1147913ERM-065,18
1147913ERM-060,14
1147913ERM-075,32
1147913ERM-070,35
1147913ERM-085,20
1147913ERM-080,35
1147913ERM-090,14
