codigo,Cantidad
E201581,9.00
E201582,27.00
E201583,18.00
E201591,12.00
E201592,36.00
E201593,27.00
E501581,24.00
E501582,48.00
E501583,36.00
E501584,3.00
E501591,36.00
E501592,45.00
E501593,54.00
E501594,3.00
E501601,6.00
E501602,27.00
E501603,21.00
E501604,3.00
E504941,3.00
E504942,24.00
E504943,18.00
E504944,3.00
E504951,3.00
E504952,24.00
E504953,18.00
E551581,6.00
E551582,24.00
E551583,18.00
E551584,3.00
E551591,21.00
E9075832,30.00
E9075833,24.00
E504954,3.00
E50126321,18.00
E50126322,45.00
E50126323,24.00
E50126331,21.00
E50126332,54.00
E50126333,30.00
E50126371,12.00
E50126372,72.00
E50126373,60.00
E50126382,60.00
E50126383,48.00
E5556331,18.00
E5556332,45.00
E5556333,24.00
E5556351,21.00
E5556352,54.00
E5556353,42.00
E5556361,15.00
E5556362,60.00
E5556363,51.00
E5556371,9.00
E5556372,54.00
E5556373,42.00
E7511602,21.00
E7511603,15.00
E7514952,21.00
E7514953,15.00
EC9026412,21.00
EC9026413,18.00
EC9026422,27.00
EC9026423,21.00
EC9036432,30.00
EC9036433,24.00
EC9036441,12.00
EC9036442,30.00
EC9036443,21.00
EC9036444,9.00
EC9046451,9.00
EC9046452,21.00
EC9046453,12.00
EC9046462,21.00
EC9046463,18.00
EC9016471,9.00
EC9016472,30.00
EC9016473,24.00
EC9016474,6.00
EC9016481,9.00
EC9016482,24.00
EC9016483,18.00
EC9016484,6.00
EC2016472,24.00
EC2016473,18.00
EC2016491,12.00
EC2016492,21.00
EC2016493,15.00
E551592,33.00
E551593,36.00
E551594,3.00
E551601,6.00
E551602,36.00
E551603,27.00
E551604,3.00
E554942,24.00
E554943,18.00
E554952,24.00
E554953,18.00
E7511582,21.00
E7511583,15.00
E7511592,30.00
E7511593,24.00
E7514942,21.00
E7514943,15.00
E901582,21.00
E901583,15.00
E901584,3.00
E901592,27.00
E901593,21.00
E901594,3.00
E904042,36.00
E904043,27.00
E905692,21.00
E905693,15.00
E9065872,30.00
E9065873,24.00
E9065882,30.00
E9065883,24.00
E9075842,30.00
E9075843,24.00
E951582,18.00
E951583,12.00
E951592,21.00
E951593,15.00
EC301582,21.00
EC301583,15.00
EC301591,3.00
EC301592,24.00
EC301593,18.00
EC301594,3.00
EC501591,6.00
EC501593,24.00
EC501594,3.00
EC501603,18.00
PC602502,24.00
PC602503,21.00
PC602512,21.00
PC602513,15.00
PF251591,6.00
PF251592,18.00
PF251593,15.00
PF251594,3.00
