codigo,Cantidad
CLMFSTS-PER-WH003-S,2
CLMFSTS-PER-WH003-M,4
CLMFSTS-PER-WH003-L,2
CLMFSTS-PER-WH003-XL,1
CLWFSTS-PER-WH003-XS,4
CLWFSTS-PER-WH003-S,2
CLWFSTS-PER-WH003-M,2
CLWFSTS-PER-WH003-L,2
CLNSBTSWWMT-WH001-S,2
CLNSBTSWWMT-WH001-M,4
CLNSBTSWWMT-WH001-L,2
CLMDLYTS-PER-OL001-S,4
CLMDLYTS-PER-OL001-M,4
CLMDLYTS-PER-OL001-L,2
CLMDLYTS-PER-OL001-XL,2
CLMDLYTS-PER-VA001-S,4
CLMDLYTS-PER-VA001-M,4
CLMDLYTS-PER-VA001-L,2
CLMDLYTS-PER-VA001-XL,2
CLWDLYS-PER-OL001-XS,2
CLWDLYS-PER-OL001-S,4
CLWDLYS-PER-OL001-M,2
CLWDLYS-PER-OL001-L,1
CLWDLYS-PER-VA001-XS,2
CLWDLYS-PER-VA001-S,4
CLWDLYS-PER-VA001-M,2
CLWDLYS-PER-VA001-L,1
CLMNTRTS-LE-FN001-S,4
CLMNTRTS-LE-FN001-M,2
CLMNTRTS-LE-FN001-L,2
CLWNTRTS-LE-FN001-XS,4
CLWNTRTS-LE-FN001-S,2
CLWNTRTS-LE-FN001-M,2
CLWNTRTS-LE-FN001-L,1
