codigo,Cantidad
1123153BBLC-075,3
1123153BBLC-085,20
1123153BBLC-080,15
1123153BBLC-095,27
1123153BBLC-090,29
1123153BBLC-105,17
1123153BBLC-100,22
1123153BBLC-115,3
1123153BBLC-110,11
1123153BBLC-120,2
1123153BBLC-130,1
1123153DEGG-075,2
1123153DEGG-085,23
1123153DEGG-080,14
1123153DEGG-095,30
1123153DEGG-090,31
1123153DEGG-105,20
1123153DEGG-100,24
1123153DEGG-115,5
1123153DEGG-110,14
1123153DEGG-120,6
1123153DEGG-130,1
1134497BKLT-075,4
1134497BKLT-085,25
1134497BKLT-080,25
1134497BKLT-095,43
1134497BKLT-090,55
1134497BKLT-105,37
1134497BKLT-100,54
1134497BKLT-115,7
1134497BKLT-110,23
1134497BKLT-120,12
1134497BKLT-130,2
1134497HMCS-075,9
1134497HMCS-085,15
1134497HMCS-080,18
1134497HMCS-095,20
1134497HMCS-090,27
1134497HMCS-105,12
1134497HMCS-100,24
1134497HMCS-110,13
1134497HMCS-120,6
1134497OZF-075,6
1134497OZF-085,28
1134497OZF-080,30
1134497OZF-095,49
1134497OZF-090,63
1134497OZF-105,40
1134497OZF-100,65
1134497OZF-115,10
1134497OZF-110,27
1134497OZF-120,17
1134497OZF-130,4
1134501BBLC-075,4
1134501BBLC-085,13
1134501BBLC-080,12
1134501BBLC-095,22
1134501BBLC-090,27
1134501BBLC-105,17
1134501BBLC-100,24
1134501BBLC-115,8
1134501BBLC-110,12
1134501BBLC-120,4
1134501BBLC-130,1
1141530OZF-075,2
1141530OZF-085,11
1141530OZF-080,8
1141530OZF-095,17
1141530OZF-090,18
1141530OZF-105,12
1141530OZF-100,17
1141530OZF-115,5
1141530OZF-110,8
1141530OZF-120,4
1141530OZF-130,1
1147850BDBSW-075,2
1147850BDBSW-085,8
1147850BDBSW-080,6
1147850BDBSW-095,12
1147850BDBSW-090,14
1147850BDBSW-105,9
1147850BDBSW-100,12
1147850BDBSW-115,5
1147850BDBSW-110,8
1147850BDBSW-120,4
1147850BDBSW-130,2
1123154EEGG-065,15
1123154EEGG-060,11
1123154EEGG-075,27
1123154EEGG-070,30
1123154EEGG-085,18
1123154EEGG-080,30
1123154EEGG-090,11
1123154EEGG-100,2
1123154WWH-065,17
1123154WWH-060,11
1123154WWH-075,25
1123154WWH-070,29
1123154WWH-085,17
1123154WWH-080,29
1123154WWH-090,13
1123154WWH-100,3
1127952CMV-065,38
1127952CMV-060,30
1127952CMV-075,61
1127952CMV-070,65
1127952CMV-085,44
1127952CMV-080,57
1127952CMV-090,31
1127952SSK-065,25
1127952SSK-060,13
1127952SSK-075,39
1127952SSK-070,36
1127952SSK-085,21
1127952SSK-080,34
1127952SSK-090,13
1127952SSK-100,3
1134498ERC-065,31
1134498ERC-060,17
1134498ERC-075,40
1134498ERC-070,51
1134498ERC-085,21
1134498ERC-080,51
1134498ERC-090,24
1134498ERC-100,7
1134498FBT-065,11
1134498FBT-060,5
1134498FBT-075,18
1134498FBT-070,19
1134498FBT-085,12
1134498FBT-080,19
1134498FBT-090,6
1134498FBT-100,2
1134498HMSP-065,15
1134498HMSP-060,15
1134498HMSP-075,20
1134498HMSP-070,27
1134498HMSP-085,14
1134498HMSP-080,26
1134498HMSP-090,16
1134498HMSP-100,11
1134502BBLC-065,8
1134502BBLC-060,4
1134502BBLC-075,14
1134502BBLC-070,15
1134502BBLC-085,10
1134502BBLC-080,14
1134502BBLC-090,4
1134502BBLC-100,3
1141531SNBT-065,9
1141531SNBT-060,4
1141531SNBT-075,14
1141531SNBT-070,15
1141531SNBT-085,9
1141531SNBT-080,14
1141531SNBT-090,5
1141531SNBT-100,2
1147851BSG-065,9
1147851BSG-060,5
1147851BSG-075,14
1147851BSG-070,16
1147851BSG-085,8
1147851BSG-080,14
1147851BSG-090,4
1147851BSG-100,2
1134470SBDCT-035,5
1134470SBDCT-045,10
1134470SBDCT-040,9
1134470SBDCT-055,10
1134470SBDCT-050,11
1134470SBDCT-065,10
1134470SBDCT-060,11
1134470SBDCT-070,6
1127952BSW-065,33
1127952BSW-060,19
1127952BSW-075,54
1127952BSW-070,48
1127952BSW-085,28
1127952BSW-080,48
1127952BSW-090,19
1127952BSW-100,2
1147791SRBT-075,9
1147791SRBT-085,27
1147791SRBT-080,26
1147791SRBT-095,45
1147791SRBT-090,57
1147791SRBT-105,37
1147791SRBT-100,59
1147791SRBT-115,10
1147791SRBT-110,31
1147791SRBT-120,20
1147791SRBT-130,3
1127952LMG-065,18
1127952LMG-060,12
1127952LMG-075,27
1127952LMG-070,29
1127952LMG-085,22
1127952LMG-080,22
1127952LMG-090,14
1147811SRBT-065,32
1147811SRBT-060,21
1147811SRBT-075,38
1147811SRBT-070,42
1147811SRBT-085,19
1147811SRBT-080,41
1147811SRBT-090,24
1147811SRBT-100,9
