codigo,Cantidad
1127895WWH-075,9
1127895WWH-085,19
1127895WWH-080,20
1127895WWH-095,29
1127895WWH-090,32
1127895WWH-105,19
1127895WWH-100,29
1127895WWH-115,2
1127895WWH-110,11
1127895WWH-120,7
1127895WWH-130,2
1127896BRGL-065,24
1127896BRGL-060,18
1127896BRGL-075,38
1127896BRGL-070,41
1127896BRGL-085,30
1127896BRGL-080,34
1127896BRGL-090,16
1127896BSW-065,79
1127896BSW-060,44
1127896BSW-075,126
1127896BSW-070,119
1127896BSW-085,62
1127896BSW-080,112
1127896BSW-090,52
1127896BSW-100,7
1127896DNK-065,89
1127896DNK-060,64
1127896DNK-075,143
1127896DNK-070,139
1127896DNK-085,72
1127896DNK-080,133
1127896DNK-090,71
1127896DNK-100,24
1127896EVN-065,60
1127896EVN-060,45
1127896EVN-075,100
1127896EVN-070,95
1127896EVN-085,46
1127896EVN-080,85
1127896EVN-090,45
1127896EVN-100,19
1127896SDY-065,18
1127896SDY-060,18
1127896SDY-075,29
1127896SDY-070,34
1127896SDY-085,22
1127896SDY-080,35
1127896SDY-090,19
1127896SDY-100,13
1127896VLS-065,76
1127896VLS-060,57
1127896VLS-075,127
1127896VLS-070,120
1127896VLS-085,66
1127896VLS-080,113
1127896VLS-090,58
1127896VLS-100,13
1127896WWH-065,36
1127896WWH-060,35
1127896WWH-075,58
1127896WWH-070,66
1127896WWH-085,38
1127896WWH-080,66
1127896WWH-090,35
1127896WWH-100,11
1132211BRGL-065,8
1132211BRGL-060,4
1132211BRGL-075,14
1132211BRGL-070,16
1132211BRGL-085,9
1132211BRGL-080,16
1132211BRGL-090,4
1132211BRGL-100,1
