codigo,Cantidad
E201581,6
E201582,21
E201583,15
E201591,12
E201592,21
E201593,18
E251582,6
E251583,6
E50126323,3
E50126371,12
E501581,9
E501582,36
E501583,24
E501591,15
E501592,60
E501593,42
E501594,9
E501603,6
E504941,6
E504952,12
E504953,6
E504954,3
E551581,6
E551582,15
E551583,6
E551592,36
E551593,27
E551594,3
E551602,21
E551603,18
E551604,3
E554941,6
E554944,6
E5556361,9
E5556362,12
E5556363,9
E901582,21
E901583,15
E901584,3
E904042,18
E904043,12
E905693,15
E9075832,12
E9075833,9
EC301591,6
EC301592,18
EC301593,12
EC9046462,15
EC9046463,12
PC602502,18
PC602503,6
PC602512,6
PC6025812,15
PC6025813,12
PF501591,6
PF501592,18
PF501593,12
PF501594,3
